gad7,who5,cesdr10,loc,swls,scs,recommended_plan
14,82,24,22,15,22,"Therapist, Meditation, Reading about the illness, Journaling"
18,21,2,20,6,35,"Therapist, Meditation, Reading about the illness, Journaling"
20,20,27,0,16,33,"Therapist, Meditation, Reading about the illness, Journaling"
16,91,29,15,19,58,"Therapist, Meditation, Reading about the illness, Journaling"
18,2,28,4,23,18,"Therapist, Meditation, Reading about the illness, Journaling"
6,59,24,13,22,20,"Therapist, Meditation, Reading about the illness, Journaling"
1,43,26,7,19,46,"Therapist, Meditation, Reading about the illness, Journaling"
18,1,3,5,26,53,"Therapist, Meditation, Reading about the illness, Journaling"
19,43,29,1,14,47,"Therapist, Meditation, Reading about the illness, Journaling"
21,61,22,7,25,27,"Therapist, Meditation, Reading about the illness, Journaling"
21,88,29,12,13,40,"Therapist, Meditation, Reading about the illness, Journaling"
15,87,8,0,16,19,"Therapist, Meditation, Reading about the illness, Journaling"
10,34,7,2,5,16,"Therapist, Meditation, Reading about the illness, Journaling"
16,72,6,7,16,45,"Therapist, Meditation, Reading about the illness, Journaling"
4,85,27,2,5,46,"Therapist, Meditation, Reading about the illness, Journaling"
13,89,24,22,35,25,"Therapist, Meditation, Reading about the illness, Journaling"
8,41,29,12,23,43,"Therapist, Meditation, Reading about the illness, Journaling"
18,93,23,4,27,50,"Therapist, Meditation, Reading about the illness, Journaling"
10,31,12,6,31,33,"Therapist, Meditation, Reading about the illness, Journaling"
16,5,28,11,16,31,"Therapist, Meditation, Reading about the illness, Journaling"
17,91,22,24,11,44,"Therapist, Meditation, Reading about the illness, Journaling"
19,69,2,7,31,20,"Therapist, Meditation, Reading about the illness, Journaling"
0,23,11,14,31,43,"Therapist, Meditation, Reading about the illness, Journaling"
15,57,29,19,16,50,"Therapist, Meditation, Reading about the illness, Journaling"
16,80,23,16,6,13,"Therapist, Meditation, Reading about the illness, Journaling"
4,18,0,1,25,55,"Therapist, Meditation, Reading about the illness, Journaling"
5,54,3,10,28,28,"Therapist, Meditation, Reading about the illness, Journaling"
19,85,25,10,35,59,"Therapist, Meditation, Reading about the illness, Journaling"
15,79,5,2,24,47,"Therapist, Meditation, Reading about the illness, Journaling"
2,95,23,6,24,52,"Therapist, Meditation, Reading about the illness, Journaling"
21,10,20,24,29,34,"Therapist, Meditation, Reading about the illness, Journaling"
16,15,27,15,29,60,"Therapist, Meditation, Reading about the illness, Journaling"
15,36,24,22,13,52,"Therapist, Meditation, Reading about the illness, Journaling"
15,23,23,21,28,44,"Therapist, Meditation, Reading about the illness, Journaling"
17,37,23,7,24,46,"Therapist, Meditation, Reading about the illness, Journaling"
2,81,21,1,26,46,"Therapist, Meditation, Reading about the illness, Journaling"
15,32,3,13,25,59,"Therapist, Meditation, Reading about the illness, Journaling"
21,47,20,11,31,33,"Therapist, Meditation, Reading about the illness, Journaling"
13,50,25,21,12,38,"Therapist, Meditation, Reading about the illness, Journaling"
20,68,20,15,23,15,"Therapist, Meditation, Reading about the illness, Journaling"
16,91,11,13,25,17,"Therapist, Meditation, Reading about the illness, Journaling"
8,45,20,20,35,46,"Therapist, Meditation, Reading about the illness, Journaling"
18,31,20,22,5,14,"Therapist, Meditation, Reading about the illness, Journaling"
9,66,29,7,18,35,"Therapist, Meditation, Reading about the illness, Journaling"
14,26,21,9,6,37,"Therapist, Meditation, Reading about the illness, Journaling"
15,47,21,6,33,53,"Therapist, Meditation, Reading about the illness, Journaling"
17,12,23,6,29,47,"Therapist, Meditation, Reading about the illness, Journaling"
15,15,13,13,16,34,"Therapist, Meditation, Reading about the illness, Journaling"
1,62,22,21,23,36,"Therapist, Meditation, Reading about the illness, Journaling"
21,48,25,19,14,17,"Therapist, Meditation, Reading about the illness, Journaling"
10,7,0,20,32,55,"Therapist, Meditation, Reading about the illness, Journaling"
21,95,12,19,34,58,"Therapist, Meditation, Reading about the illness, Journaling"
18,29,17,18,21,30,"Therapist, Meditation, Reading about the illness, Journaling"
4,22,29,8,16,12,"Therapist, Meditation, Reading about the illness, Journaling"
0,47,29,24,12,56,"Therapist, Meditation, Reading about the illness, Journaling"
15,21,24,22,7,23,"Therapist, Meditation, Reading about the illness, Journaling"
17,28,28,13,32,16,"Therapist, Meditation, Reading about the illness, Journaling"
13,75,24,15,30,37,"Therapist, Meditation, Reading about the illness, Journaling"
6,93,29,4,27,21,"Therapist, Meditation, Reading about the illness, Journaling"
18,9,30,18,30,43,"Therapist, Meditation, Reading about the illness, Journaling"
19,79,27,22,6,60,"Therapist, Meditation, Reading about the illness, Journaling"
17,34,21,0,5,54,"Therapist, Meditation, Reading about the illness, Journaling"
17,73,27,10,16,40,"Therapist, Meditation, Reading about the illness, Journaling"
13,34,18,22,21,37,"Therapist, Meditation, Reading about the illness, Journaling"
9,6,1,3,30,56,"Therapist, Meditation, Reading about the illness, Journaling"
18,35,28,9,9,20,"Therapist, Meditation, Reading about the illness, Journaling"
17,81,23,16,11,43,"Therapist, Meditation, Reading about the illness, Journaling"
4,12,22,22,29,46,"Therapist, Meditation, Reading about the illness, Journaling"
16,88,23,21,17,30,"Therapist, Meditation, Reading about the illness, Journaling"
11,75,22,8,11,39,"Therapist, Meditation, Reading about the illness, Journaling"
18,68,24,2,16,36,"Therapist, Meditation, Reading about the illness, Journaling"
19,15,26,24,11,56,"Therapist, Meditation, Reading about the illness, Journaling"
